"No.","Time","Source","Destination","Src. Port","Dst. Port","Protocol","Length","Info"
"140587","14:58:23,892412","192.168.200.103","10.87.173.45","49566","7074","HTTP","283","GET /av64bit-eps_62629/avx/Plugins/excgenx.ivd.gzip HTTP/1.1 "
"140658","14:58:23,900650","10.87.173.45","192.168.200.103","7074","49566","HTTP","732","HTTP/1.1 200 OK  (text/plain)"
"140662","14:58:24,100972","192.168.200.103","10.87.173.45","49566","7074","HTTP","283","GET /av64bit-eps_62629/avx/Plugins/htmltok.cvd.gzip HTTP/1.1 "
"140899","14:58:24,122793","10.87.173.45","192.168.200.103","7074","49566","HTTP","222","HTTP/1.1 200 OK  (text/plain)"
"140901","14:58:24,405319","192.168.200.103","10.87.173.45","49566","7074","HTTP","281","GET /av64bit-eps_62629/avx/Plugins/iltok.cvd.gzip HTTP/1.1 "
"141266","14:58:24,437649","10.87.173.45","192.168.200.103","7074","49566","HTTP","1325","HTTP/1.1 200 OK  (text/plain)"
"141268","14:58:24,748818","192.168.200.103","10.87.173.45","49566","7074","HTTP","279","GET /av64bit-eps_62629/avx/Plugins/iso.xmd.gzip HTTP/1.1 "
"141353","14:58:24,758245","10.87.173.45","192.168.200.103","7074","49566","HTTP","262","HTTP/1.1 200 OK  (text/plain)"
"141356","14:58:24,978844","192.168.200.103","10.87.173.45","49566","7074","HTTP","280","GET /av64bit-eps_62629/avx/Plugins/java.cvd.gzip HTTP/1.1 "
"144055","14:58:25,202132","10.87.173.45","192.168.200.103","7074","49566","HTTP","868","HTTP/1.1 200 OK  (text/plain)"
"144060","14:58:25,832037","192.168.200.103","10.87.173.45","49566","7074","HTTP","280","GET /av64bit-eps_62629/avx/Plugins/lhdb.cvd.gzip HTTP/1.1 "
"146521","14:58:26,035912","10.87.173.45","192.168.200.103","7074","49566","HTTP","695","HTTP/1.1 200 OK  (text/plain)"
"146528","14:58:26,357831","192.168.200.103","10.87.173.45","49566","7074","HTTP","279","GET /av64bit-eps_62629/avx/Plugins/lib.cvd.gzip HTTP/1.1 "
"147157","14:58:26,411640","10.87.173.45","192.168.200.103","7074","49566","HTTP","1176","HTTP/1.1 200 OK  (text/plain)"
"147159","14:58:26,636400","192.168.200.103","10.87.173.45","49566","7074","HTTP","279","GET /av64bit-eps_62629/avx/Plugins/mdx.xmd.gzip HTTP/1.1 "
"147370","14:58:26,655932","10.87.173.45","192.168.200.103","7074","49566","HTTP","175","HTTP/1.1 200 OK  (text/plain)"
"147372","14:58:26,814109","192.168.200.103","10.87.173.45","49566","7074","HTTP","283","GET /av64bit-eps_62629/avx/Plugins/mdx_xf2.cvd.gzip HTTP/1.1 "
"147401","14:58:26,819038","10.87.173.45","192.168.200.103","7074","49566","HTTP","705","HTTP/1.1 200 OK  (text/plain)"
"147403","14:58:26,996666","192.168.200.103","10.87.173.45","49566","7074","HTTP","283","GET /av64bit-eps_62629/avx/Plugins/regarch.xmd.gzip HTTP/1.1 "
"147447","14:58:27,002819","10.87.173.45","192.168.200.103","7074","49566","HTTP","1265","HTTP/1.1 200 OK  (text/plain)"
"147452","14:58:27,224177","192.168.200.103","10.87.173.45","49566","7074","HTTP","279","GET /av64bit-eps_62629/avx/Plugins/sfx.xmd.gzip HTTP/1.1 "
"147472","14:58:27,228417","10.87.173.45","192.168.200.103","7074","49566","HTTP","1326","HTTP/1.1 200 OK  (text/plain)"
"147475","14:58:27,395004","192.168.200.103","10.87.173.45","49566","7074","HTTP","279","GET /av64bit-eps_62629/avx/Plugins/swf.xmd.gzip HTTP/1.1 "
"147599","14:58:27,407532","10.87.173.45","192.168.200.103","7074","49566","HTTP","1093","HTTP/1.1 200 OK  (text/plain)"
"147601","14:58:27,769719","192.168.200.103","10.87.173.45","49566","7074","HTTP","284","GET /av64bit-eps_62629/avx/Plugins/tkndet01.cvd.gzip HTTP/1.1 "
"147624","14:58:27,774162","10.87.173.45","192.168.200.103","7074","49566","HTTP","243","HTTP/1.1 200 OK  (text/plain)"
